ts_code,symbol,name,list_date,delist_date
CS1901.DCE,CS1901,ÓñÃ×µí·Û1901,20180116,20190115
FB1901.DCE,FB1901,ÏËÎ¬°å1901,20180116,20190115
I1901.DCE,I1901,Ìú¿óÊ¯1901,20180116,20190115
J1901.DCE,J1901,½¹Ì¿1901,20180116,20190115
JM1901.DCE,JM1901,½¹Ãº1901,20180116,20190115
L1901.DCE,L1901,ËÜÁÏ1901,20180116,20190115
M1901.DCE,M1901,¶¹ÆÉ1901,20180116,20190115
P1901.DCE,P1901,×ØéµÓÍ1901,20180116,20190115
PP1901.DCE,PP1901,¾Û±ûÏ©1901,20180116,20190115
V1901.DCE,V1901,PVC1901,20180116,20190115
Y1901.DCE,Y1901,¶¹ÓÍ1901,20180116,20190115
C1003.DCE,C1003,ÓñÃ×1003,20090316,20100312
M0011.DCE,M0011,¶¹ÆÉ0011,20000717,20001114
B1902.DCE,B1902,¶¹¶þ1902,20180222,20190221
BB1902.DCE,BB1902,½ººÏ°å1902,20180222,20190221
FB1902.DCE,FB1902,ÏËÎ¬°å1902,20180222,20190221
I1902.DCE,I1902,Ìú¿óÊ¯1902,20180222,20190221
J1902.DCE,J1902,½¹Ì¿1902,20180222,20190221
JM1902.DCE,JM1902,½¹Ãº1902,20180222,20190221
L1902.DCE,L1902,ËÜÁÏ1902,20180222,20190221
P1902.DCE,P1902,×ØéµÓÍ1902,20180222,20190221
PP1902.DCE,PP1902,¾Û±ûÏ©1902,20180222,20190221
V1902.DCE,V1902,PVC1902,20180222,20190221
JD1902.DCE,JD1902,¼¦µ°1902,20180226,20190225
A0609.DCE,A0609,¶¹Ò»0609,20050315,20060914
BB1904.DCE,BB1904,½ººÏ°å1904,20180418,20190415
FB1904.DCE,FB1904,ÏËÎ¬°å1904,20180418,20190415
I1904.DCE,I1904,Ìú¿óÊ¯1904,20180418,20190415
J1904.DCE,J1904,½¹Ì¿1904,20180418,20190415
JM1904.DCE,JM1904,½¹Ãº1904,20180418,20190415
L1904.DCE,L1904,ËÜÁÏ1904,20180418,20190415
P1904.DCE,P1904,×ØéµÓÍ1904,20180418,20190415
PP1904.DCE,PP1904,¾Û±ûÏ©1904,20180418,20190415
V1904.DCE,V1904,PVC1904,20180418,20190415
A1011.DCE,A1011,¶¹Ò»1011,20090518,20101112
B1005.DCE,B1005,¶¹¶þ1005,20090518,20100517
M1005.DCE,M1005,¶¹ÆÉ1005,20090518,20100517
C0705.DCE,C0705,ÓñÃ×0705,20060522,20070521
V0911.DCE,V0911,PVC0911,20090525,20091113
V1001.DCE,V1001,PVC1001,20090525,20100115
V1004.DCE,V1004,PVC1004,20090525,20100415
V1005.DCE,V1005,PVC1005,20090525,20100517
JD1904.DCE,JD1904,¼¦µ°1904,20180425,20190425
JD1905.DCE,JD1905,¼¦µ°1905,20180529,20190528
V1007.DCE,V1007,PVC1007,20090715,20100714
P1007.DCE,P1007,×ØéµÓÍ1007,20090715,20100714
A1101.DCE,A1101,¶¹Ò»1101,20090715,20110117
C1007.DCE,C1007,ÓñÃ×1007,20090715,20100714
A9903.DCE,A9903,¶¹Ò»9903,19990104,19990312
B0611.DCE,B0611,¶¹¶þ0611,20051115,20061114
P1008.DCE,P1008,×ØéµÓÍ1008,20090817,20100813
V1008.DCE,V1008,PVC1008,20090817,20100813
JD1907.DCE,JD1907,¼¦µ°1907,20180727,20190726
L0806.DCE,L0806,ËÜÁÏ0806,20070731,20080616
B1001.DCE,B1001,¶¹¶þ1001,20090119,20100115
A1103.DCE,A1103,¶¹Ò»1103,20090915,20110314
B1009.DCE,B1009,¶¹¶þ1009,20090915,20100914
C1009.DCE,C1009,ÓñÃ×1009,20090915,20100914
V1009.DCE,V1009,PVC1009,20090915,20100914
Y1009.DCE,Y1009,¶¹ÓÍ1009,20090915,20100914
JD1908.DCE,JD1908,¼¦µ°1908,20180829,20190827
L1010.DCE,L1010,ËÜÁÏ1010,20091023,20101021
V1010.DCE,V1010,PVC1010,20091023,20101021
JD1909.DCE,JD1909,¼¦µ°1909,20180926,20190925
M0508.DCE,M0508,¶¹ÆÉ0508,20040816,20050812
C1011.DCE,C1011,ÓñÃ×1011,20091116,20101112
P1011.DCE,P1011,×ØéµÓÍ1011,20091116,20101112
V1011.DCE,V1011,PVC1011,20091116,20101112
P0912.DCE,P0912,×ØéµÓÍ0912,20081215,20091214
L1101.DCE,L1101,ËÜÁÏ1101,20100118,20110117
M1101.DCE,M1101,¶¹ÆÉ1101,20100118,20110117
